feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,label
16.0,1.0,1.0,90.0,1.0,4.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9986489130660204,1.0
6.0,1.0,1.0,81.0,10.0,2.0,3.0,100.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.9657298414484132,1.0
24.0,18.0,20.0,10.0,49.0,8.0,24.0,8.0,2.0,3.0,8.0,3.0,0.0,2.0,5.0,2.0,0.7339900017656508,0.8339900017656507
18.0,20.0,50.0,4.0,20.0,4.0,9.0,6.0,3.0,8.0,5.0,3.0,8.0,3.0,0.0,5.0,0.5668924423543693,0.6668924423543693
54.0,48.0,20.0,8.0,0.0,56.0,6.0,8.0,3.0,2.0,8.0,2.0,1.0,1.0,1.0,2.0,0.8219116388924432,1.0
20.0,2.0,1.0,63.0,0.0,6.0,6.0,80.0,8.0,1.0,0.0,2.0,5.0,5.0,1.0,2.0,0.7437614456697853,0.9437614456697854
20.0,1.0,2.0,24.0,0.0,2.0,4.0,90.0,1.0,0.0,1.0,5.0,7.0,1.0,3.0,1.0,0.7677527286028896,0.8677527286028895
30.0,12.0,8.0,4.0,0.0,14.0,8.0,15.0,7.0,4.0,7.0,3.0,10.0,5.0,2.0,2.0,0.41709781614783614,0.41709781614783614
5.0,35.0,64.0,4.0,10.0,18.0,8.0,6.0,4.0,2.0,0.0,3.0,9.0,7.0,2.0,1.0,0.6482945274642933,0.7482945274642933
56.0,18.0,20.0,8.0,5.0,20.0,2.0,16.0,1.0,7.0,8.0,7.0,4.0,1.0,1.0,6.0,0.5798144890405131,0.6798144890405131
21.0,4.0,6.0,14.0,20.0,8.0,15.0,27.0,4.0,3.0,5.0,5.0,8.0,2.0,2.0,6.0,0.5569807351170943,0.5569807351170943
21.0,10.0,3.0,18.0,4.0,18.0,2.0,20.0,4.0,9.0,2.0,7.0,0.0,7.0,1.0,8.0,0.42403637593062615,0.5240363759306261
8.0,1.0,4.0,20.0,50.0,3.0,21.0,50.0,2.0,0.0,3.0,8.0,5.0,2.0,4.0,5.0,0.6871703319658814,0.6871703319658814
90.0,24.0,2.0,3.0,0.0,56.0,6.0,12.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.9687612514484083,1.0
50.0,8.0,7.0,0.0,0.0,12.0,2.0,10.0,5.0,7.0,6.0,8.0,0.0,4.0,1.0,9.0,0.3988826189806865,0.3988826189806865
28.0,5.0,12.0,30.0,0.0,16.0,1.0,36.0,3.0,4.0,1.0,1.0,3.0,6.0,0.0,5.0,0.7317272966080378,0.7317272966080378
20.0,80.0,54.0,4.0,9.0,18.0,20.0,3.0,1.0,2.0,3.0,3.0,8.0,3.0,1.0,2.0,0.8046797987672248,0.9046797987672248
24.0,18.0,8.0,28.0,7.0,12.0,8.0,40.0,5.0,3.0,7.0,3.0,6.0,1.0,2.0,3.0,0.671757193224123,0.671757193224123
18.0,18.0,14.0,42.0,10.0,5.0,8.0,45.0,3.0,3.0,5.0,1.0,9.0,4.0,2.0,4.0,0.6710615993617215,0.6710615993617215
6.0,2.0,32.0,32.0,90.0,2.0,12.0,50.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,5.0,0.8817905080351535,1.0
